timestamp,symbol,side,price,quantity,strategy,reason,balance_after_trade
2025-10-13 22:45:37,BTC/USDT,buy,125242.03,0.00020110797280784465,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.56
2025-10-13 22:45:37,BTC/USDT,sell,125864.84,0.00020110797280784465,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.87
2025-10-13 22:45:37,BTC/USDT,buy,125423.79,0.00020106619149186432,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.66
2025-10-13 22:45:37,BTC/USDT,sell,124815.2,0.00020106619149186432,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.75
2025-10-13 22:45:37,BTC/USDT,buy,124541.94,0.00020224425650833258,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.56
2025-10-13 22:45:37,BTC/USDT,sell,124557.04,0.00020224425650833258,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.75
2025-10-13 22:45:37,BTC/USDT,buy,123957.82,0.00020320344074680955,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.57
2025-10-13 22:45:37,BTC/USDT,sell,123786.38,0.00020320344074680955,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.72
2025-10-13 22:45:37,BTC/USDT,buy,123673.25,0.00020360058648093485,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.54
2025-10-13 22:45:37,BTC/USDT,sell,121457.22,0.00020360058648093485,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.27
2025-10-13 22:45:37,BTC/USDT,buy,121942.22,0.00020556579977048506,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.20
2025-10-13 22:45:37,BTC/USDT,sell,121722.37,0.00020556579977048506,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.22
2025-10-13 22:45:37,BTC/USDT,buy,121857.83,0.0002056154419442604,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.17
2025-10-13 22:45:37,BTC/USDT,sell,121517.52,0.0002056154419442604,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.15
2025-10-13 22:45:37,BTC/USDT,buy,121442.92,0.00020617388252898184,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.12
2025-10-13 22:45:37,BTC/USDT,sell,121673.78,0.00020617388252898184,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.20
2025-10-13 22:45:37,BTC/USDT,buy,121584.84,0.00020603109440031094,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.15
2025-10-13 22:45:37,BTC/USDT,sell,121669.52,0.00020603109440031094,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.22
2025-10-13 22:45:37,BTC/USDT,buy,122824.38,0.00020398734620891352,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.16
2025-10-13 22:45:37,BTC/USDT,sell,123073.26,0.00020398734620891352,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.27
2025-10-13 22:45:37,BTC/USDT,buy,122433.0,0.00020474309555950008,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.20
2025-10-13 22:45:37,BTC/USDT,sell,122623.17,0.00020474309555950008,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.31
2025-10-13 22:45:37,BTC/USDT,buy,123724.77,0.00020268411424209483,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.23
2025-10-13 22:45:37,BTC/USDT,sell,123659.73,0.00020268411424209483,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.29
2025-10-13 22:45:37,BTC/USDT,buy,123236.12,0.00020346104513481382,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.22
2025-10-13 22:45:37,BTC/USDT,sell,123304.16,0.00020346104513481382,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.31
2025-10-13 22:45:37,BTC/USDT,buy,123185.5,0.0002035727471653488,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.23
2025-10-13 22:45:37,BTC/USDT,sell,122006.79,0.0002035727471653488,"BB-mean_revert(p=35,σ=2.0)",Prev bar SELL edge -> exit on next open,cash:100.07
2025-10-13 22:45:37,BTC/USDT,buy,121982.82,0.00020508807992579824,"BB-mean_revert(p=35,σ=2.0)",Prev bar BUY edge -> enter on next open,cash:75.05
